,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,power_generated,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,wind,8,9,10,11,12,13,14,15,16,17,Clear,Foggy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Humid
9886,0.0,38.14,38,0,4.7,329.0,3.87,5.79,1006.98,10.0,274.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9887,0.0,39.3,39,0,3.39,328.0,4.61,6.74,1006.55,12.0,275.2,0.0,0.0,13.96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9888,0.0,39.92,40,0,2.11,324.0,5.11,6.77,1005.85,12.0,275.6,0.0,0.0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9889,0.0,40.17,40,0,0.75,320.0,5.5,6.53,1005.09,10.0,275.7,0.0,0.0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9890,0.0,40.2,40,0,-0.48,317.0,5.67,6.38,1004.36,7.0,275.7,0.0,0.0,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9891,0.0,40.32,40,0,-1.59,316.0,5.57,6.3,1003.72,4.0,275.5,0.0,0.0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9892,0.0,40.36,40,0,-1.08,319.0,5.2,6.05,1003.34,2.0,274.2,0.0,0.0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9906,0.0,30.29,30,0,-0.09,12.0,1.03,1.8,1004.96,0.0,274.7,0.0,0.0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9907,0.0,33.13,33,0,-1.14,15.0,1.04,1.36,1005.41,2.0,274.8,0.0,0.0,4.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9908,0.0,35.32,35,0,-1.51,42.0,1.17,1.28,1005.67,5.0,274.7,0.0,0.0,8.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9909,0.0,36.95,37,0,-1.17,76.0,1.43,1.48,1005.8,8.0,274.5,0.0,0.0,10.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9910,0.0,38.24,38,0,-0.31,346.0,1.74,1.75,1005.78,10.0,275.6,0.0,0.0,6.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9911,0.0,39.23,39,0,0.27,338.0,2.11,2.16,1005.36,12.0,276.7,0.0,0.0,9.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9912,0.0,40.01,40,0,-0.05,351.0,2.56,2.93,1004.55,12.0,276.3,0.0,0.0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9913,0.0,40.61,41,0,-0.8,329.0,2.93,3.82,1003.61,10.0,275.6,0.0,0.0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9914,0.0,40.99,41,0,-1.77,6.0,3.06,4.36,1002.61,7.0,274.8,0.0,0.0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9915,0.0,41.31,41,0,-2.83,53.0,2.92,4.56,1001.72,4.0,274.0,0.0,0.0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9916,0.0,41.37,41,0,-2.86,10.0,2.87,4.18,1001.32,2.0,272.5,0.0,0.0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
